scrape_time_date,scrape_time_UTC,Login_ID2
10/26/2023,08:18,[]
10/26/2023,16:51,[]
10/26/2023,17:01,[]
10/26/2023,17:11,[]
10/26/2023,17:21,[]
10/26/2023,17:31,[]
10/26/2023,17:41,[]
10/26/2023,17:51,[]
10/26/2023,18:01,[]
10/26/2023,18:11,[]
10/26/2023,18:21,[]
10/26/2023,18:31,[]
10/26/2023,18:41,[]
10/26/2023,18:51,[]
10/26/2023,19:01,[]
10/26/2023,19:11,[]
10/26/2023,19:21,[]
10/26/2023,19:31,[]
10/26/2023,19:41,[]
10/26/2023,19:51,[]
10/26/2023,20:01,[]
10/26/2023,20:11,[]
10/26/2023,20:21,[]
10/26/2023,20:31,[]
10/26/2023,20:41,[]
10/26/2023,20:51,[]
10/26/2023,21:01,[]
10/26/2023,21:11,[]
10/26/2023,21:21,[]
10/26/2023,21:31,[]
10/26/2023,21:41,[]
10/26/2023,21:51,[]
10/26/2023,22:01,[]
10/26/2023,22:11,[]
10/26/2023,22:21,[]
10/26/2023,22:31,[]
10/26/2023,22:41,[]
10/26/2023,22:51,[]
10/26/2023,23:01,['misbahsy']
10/26/2023,23:11,[]
10/26/2023,23:21,['halit-vural']
10/26/2023,23:31,[]
10/26/2023,23:41,['yuhao-git-star']
10/26/2023,23:51,[]
10/27/2023,00:01,[]
10/27/2023,00:11,[]
10/27/2023,00:21,[]
10/27/2023,00:31,[]
10/27/2023,00:41,[]
10/27/2023,00:51,[]
10/27/2023,01:01,[]
10/27/2023,01:11,[]
10/27/2023,01:21,[]
10/27/2023,01:31,[]
10/27/2023,01:41,[]
10/27/2023,01:51,[]
10/27/2023,02:01,[]
10/27/2023,02:11,[]
10/27/2023,02:21,[]
10/27/2023,02:31,[]
10/27/2023,02:41,[]
10/27/2023,02:51,[]
10/27/2023,03:01,['misbahsy']
10/27/2023,03:11,[]
10/27/2023,03:21,['halit-vural']
10/27/2023,03:31,['esin']
10/27/2023,03:41,['yuhao-git-star']
10/27/2023,03:51,['ilyakatz']
10/27/2023,04:01,[]
10/27/2023,04:11,[]
10/27/2023,04:21,[]
10/27/2023,04:31,[]
10/27/2023,04:41,[]
10/27/2023,04:51,[]
10/27/2023,05:01,['misbahsy']
10/27/2023,05:11,['zishon89us']
10/27/2023,05:21,[]
10/27/2023,05:31,['esin']
10/27/2023,05:41,['yuhao-git-star']
10/27/2023,05:51,[]
10/27/2023,06:01,[]
10/27/2023,06:11,[]
10/27/2023,06:21,[]
10/27/2023,06:31,[]
10/27/2023,06:41,[]
10/27/2023,06:51,[]
10/27/2023,07:01,[]
10/27/2023,07:11,[]
10/27/2023,07:21,[]
10/27/2023,07:31,[]
10/27/2023,07:41,[]
10/27/2023,07:51,[]
10/27/2023,08:01,['misbahsy']
10/27/2023,08:11,['zishon89us']
10/27/2023,08:21,['halit-vural']
10/27/2023,08:31,[]
10/27/2023,08:41,['yuhao-git-star']
10/27/2023,08:51,['ilyakatz']
10/27/2023,09:01,['misbahsy']
10/27/2023,09:11,[]
10/27/2023,09:21,[]
10/27/2023,09:31,[]
10/27/2023,09:41,['yuhao-git-star']
10/27/2023,09:51,[]
10/27/2023,10:01,['misbahsy']
10/27/2023,10:11,[]
10/27/2023,10:21,[]
10/27/2023,10:31,[]
10/27/2023,10:41,[]
10/27/2023,10:51,[]
10/27/2023,11:01,[]
10/27/2023,11:11,[]
10/27/2023,11:21,[]
10/27/2023,11:31,[]
10/27/2023,11:41,[]
10/27/2023,11:51,[]
10/27/2023,12:01,[]
10/27/2023,12:11,[]
10/27/2023,12:21,[]
10/27/2023,12:31,[]
10/27/2023,12:41,[]
10/27/2023,12:51,[]
10/27/2023,13:01,[]
10/27/2023,13:11,[]
10/27/2023,13:21,[]
10/27/2023,13:31,[]
10/27/2023,13:41,[]
10/27/2023,13:51,[]
10/27/2023,14:01,[]
10/27/2023,14:11,[]
10/27/2023,14:21,[]
10/27/2023,14:31,['esin']
10/27/2023,14:41,['yuhao-git-star']
10/27/2023,14:51,['ilyakatz']
10/27/2023,15:01,[]
10/27/2023,15:11,[]
10/27/2023,15:21,[]
10/27/2023,15:31,[]
10/27/2023,15:41,[]
10/27/2023,15:51,[]
10/27/2023,16:01,[]
10/27/2023,16:11,[]
10/27/2023,16:21,[]
10/27/2023,16:31,[]
10/27/2023,16:41,[]
